Input_Text,Process_Text,Status,Before Replace,After Replace
ডিজিটাল রেজিস্ট্রেশন সার্টিফিকেট সংক্রান্ত যোগাযোগ করতে হলে 01790-111111 অথবা 01790-540210 নম্বরে যোগাযোগ করতে হবে +8801790540211,ডিজিটাল রেজিস্ট্রেশন সার্টিফিকেট সংক্রান্ত যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ট্রিপল ওয়ান ট্রিপল ওয়ান অথবা জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ওয়ান জিরো নম্বরে যোগাযোগ করতে হবে প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান,False,"['01790-111111', '01790-540210', '+8801790540211']","['জিরো ওয়ান সেভেন নাইন জিরো ট্রিপল ওয়ান ট্রিপল ওয়ান', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ওয়ান জিরো', 'প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান']"
ডিজিটাল রেজিস্ট্রেশন সার্টিফিকেট সংক্রান্ত যোগাযোগ করতে হলে ০১৭৯০-১১১১১১ অথবা ০১৭৯০-৫৪০২১০ নম্বরে যোগাযোগ করতে হবে ০১৭৯০৫৪০২১১,ডিজিটাল রেজিস্ট্রেশন সার্টিফিকেট সংক্রান্ত যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ট্রিপল ওয়ান ট্রিপল ওয়ান অথবা জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ওয়ান জিরো নম্বরে যোগাযোগ করতে হবে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান,False,"['০১৭৯০-১১১১১১', '০১৭৯০-৫৪০২১০', '০১৭৯০৫৪০২১১']","['জিরো ওয়ান সেভেন নাইন জিরো ট্রিপল ওয়ান ট্রিপল ওয়ান', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ওয়ান জিরো', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান']"
"রাহিম ক্লাস ওয়ান এ ১ম, ১১তম ২২ তম ৩৩ তম, ১২৩৪ শতাব্দীতে ¥২০৩০.১২৩৪ বিবিধ  বাকেরগঞ্জ উপজেলার প্রায় 40 ভাগের পেশাই চাষাবাদ 80 and 40 ২২""","রাহিম ক্লাস ওয়ান এ প্রথম, এগারোতম বাইশতম তেত্রিশতম, বারোশো চৌত্রিশ শতাব্দীতে দুই হাজার ত্রিশ দশমিক এক দুই তিন চার ইয়েন বিবিধ বাকেরগঞ্জ উপজেলার প্রায় চল্লিশ ভাগের পেশাই চাষাবাদ আশি and চল্লিশ বাইশ """,False,"['১ম, ১১তম ২২ তম ৩৩ তম, ১২৩৪', '¥২০৩০.১২৩৪', '40', '80', '40 ২২""']","['প্রথম, এগারোতম বাইশতম তেত্রিশতম, বারোশো চৌত্রিশ', 'দুই হাজার ত্রিশ দশমিক এক দুই তিন চার ইয়েন', 'চল্লিশ', 'আশি', 'চল্লিশ বাইশ ""']"
"অর্থাৎ, আবেদনকারীর বয়স ১ বছর হলে জন্ম নিবন্ধন ফি ১০ টাকা, বয়স ২ বছর হলে ২০ টাকা, বয়স ৫ বছর হলে ৫০ টাকা, এবং বয়স ১০ বছর হলে ১০০ টাকা হবে","অর্থাৎ, আবেদনকারীর বয়স এক বছর হলে জন্ম নিবন্ধন ফি দশ টাকা, বয়স দুই বছর হলে বিশ টাকা, বয়স পাঁচ বছর হলে পঞ্চাশ টাকা, এবং বয়স দশ বছর হলে একশো টাকা হবে",False,"['১', '১০', '২', '২০', '৫', '৫০', '১০', '১০০']","['এক', 'দশ', 'দুই', 'বিশ', 'পাঁচ', 'পঞ্চাশ', 'দশ', 'একশো']"
"বাংলাদেশের পাসপোর্টের ৪৮ পৃষ্ঠা এবং ১০ বছর মেয়াদের সহ পাসপোর্টের জন্য নিয়মিত বিতরণে ফি ৫,৭৫০ টাকা, জরুরী বিতরণে ফি ৮,০৫০ টাকা, এবং অতীব জরুরী বিতরণের ফি ১০,৩৫০ টাকা","বাংলাদেশের পাসপোর্টের আটচল্লিশ পৃষ্ঠা এবং দশ বছর মেয়াদের সহ পাসপোর্টের জন্য নিয়মিত বিতরণে ফি পাঁচ হাজার সাতশো পঞ্চাশ টাকা, জরুরী বিতরণে ফি আট হাজার পঞ্চাশ টাকা, এবং অতীব জরুরী বিতরণের ফি দশ হাজার তিনশো পঞ্চাশ টাকা",False,"['৪৮', '১০', '৫,৭৫০', '৮,০৫০', '১০,৩৫০']","['আটচল্লিশ', 'দশ', 'পাঁচ হাজার সাতশো পঞ্চাশ', 'আট হাজার পঞ্চাশ', 'দশ হাজার তিনশো পঞ্চাশ']"
"        ""১৯৯৬ টাকা বাংলাদেশের পাসপোর্টের ৬৪ পৃষ্ঠা এবং ৫ বছর মেয়াদের সহ পাসপোর্টের জন্য নিয়মিত বিতরণে ফি ৬,৩২৫ টাকা, জরুরী বিতরণে ফি ৮,৬২৫.৬২৫ টাকা, এবং অতীব জরুরী বিতরণের ফি ১২,০৭৫ টাকা1234 হতে  ২০১৪ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে ",""" এক হাজার নয়শো ছিয়ানব্বই টাকা বাংলাদেশের পাসপোর্টের চৌষট্টি পৃষ্ঠা এবং পাঁচ বছর মেয়াদের সহ পাসপোর্টের জন্য নিয়মিত বিতরণে ফি ছয় হাজার তিনশো পঁচিশ টাকা, জরুরী বিতরণে ফি আট হাজার ছয়শো পঁচিশ দশমিক ছয় দুই পাঁচ টাকা, এবং অতীব জরুরী বিতরণের ফি বারো হাজার পঁচাত্তর টাকা বারোশো চৌত্রিশ হতে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে",False,"['""১৯৯৬', '৬৪', '৫', '৬,৩২৫', '৮,৬২৫.৬২৫', '১২,০৭৫ টাকা1234', '২০১৪']","['"" এক হাজার নয়শো ছিয়ানব্বই', 'চৌষট্টি', 'পাঁচ', 'ছয় হাজার তিনশো পঁচিশ', 'আট হাজার ছয়শো পঁচিশ দশমিক ছয় দুই পাঁচ', 'বারো হাজার পঁচাত্তর টাকা বারোশো চৌত্রিশ', 'দুই হাজার চৌদ্দ']"
"1995 সাল  ,  কালো রাত। বুধবার থেকে দুটি আবাসিক এলাকার ৯টি ব্লকে ৯টি দল পাহারা দিচ্ছে। মোসা. রশিদের ""","উনিশশো পঁচানব্বই সাল, কালো রাত। বুধবার থেকে দুটি আবাসিক এলাকার নয়টি ব্লকে নয়টি দল পাহারা দিচ্ছে। মোসা . রশিদের """,False,"['1995', 'সাল', ',', '৯টি', '৯টি', 'মোসা.']","['উনিশশো পঁচানব্বই', 'সাল,', 'নয়টি', 'নয়টি', 'মোসা .']"
"১৯৫৪ সালের রাহিম ক্লাস ওয়ান এ ১ম,উনিশশো চুয়ান্ন সালের রাহিম ক্লাস ওয়ান এ প্রথম, এন্ড বাসার ক্লাস এ তেত্রিশতম, সে জন্য দুই হাজার ত্রিশ শতাব্দীতে দুই হাজার ত্রিশ দশমিক এক দুই তিন চার ইয়েন দিতে হয়েছে, সে জন্য ২০৩০ শতাব্দীতে ¥২০৩০.১২৩৪ দিতে হয়েছে","উনিশশো চুয়ান্ন সালের রাহিম ক্লাস ওয়ান এ প্রথম, এন্ড বাসার ক্লাস এ তেত্রিশতম, সে জন্য দুই হাজার ত্রিশ শতাব্দীতে দুই হাজার ত্রিশ দশমিক এক দুই তিন চার ইয়েন দিতে হয়েছে",False,"['১৯৫৪', '১ম,', '৩৩ তম,', '২০৩০', '¥২০৩০.১২৩৪']","['উনিশশো চুয়ান্ন', 'প্রথম,', 'তেত্রিশতম,', 'দুই হাজার ত্রিশ', 'দুই হাজার ত্রিশ দশমিক এক দুই তিন চার ইয়েন']"
"উদাহরণস্বরূপ, আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো-গ-12-1212 এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার 2001011325989","উদাহরণস্বরূপ, আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো গ বারো দশমিক এক দুই এক দুই এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই ",False,"['মেট্রো-গ-12-1212', '2001011325989']","['মেট্রো গ বারো দশমিক এক দুই এক দুই', 'দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই']"
"""""আমি যে যে সার্ভিস দিয়ে থাকি ","""আমি যে যে সার্ভিস দিয়ে থাকি",False,"['""""আমি']","['""আমি']"
        # ১.০ মুড়ি বিক্রি , এক দশমিক শূন্য মুড়ি বিক্রি,False,['# ১.০'],['এক দশমিক শূন্য']
        # ২. চাল, দুই চাল,False,['# ২.'],['দুই']
        # ৩. ডাল , তিন ডাল,False,['# ৩.'],['তিন']
"        # 4.1 ডাল"""""," চার দশমিক এক ডাল""",False,"['# 4.1', 'ডাল""""']","['চার দশমিক এক', 'ডাল""']"
১৯৫৪ থেকে ২০১৪ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,উনিশশো চুয়ান্ন থেকে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['১৯৫৪', '২০১৪']","['উনিশশো চুয়ান্ন', 'দুই হাজার চৌদ্দ']"
1944 থেকে 2010 সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,উনিশশো চুয়াল্লিশ থেকে দুই হাজার দশ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1944', '2010']","['উনিশশো চুয়াল্লিশ', 'দুই হাজার দশ']"
২০২৩ হতে  ২০১৪ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,দুই হাজার তেইশ হতে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['২০২৩', '২০১৪']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
১৯৫৪ থেকে ২০১৪ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,উনিশশো চুয়ান্ন থেকে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['১৯৫৪', '২০১৪']","['উনিশশো চুয়ান্ন', 'দুই হাজার চৌদ্দ']"
1234 হতে  ২০১৪ শতাব্দী বাংলাদেশ আর মানুষ বুজতে শুরু করে,বারোশো চৌত্রিশ হতে দুই হাজার চৌদ্দ শতাব্দী বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1234', '২০১৪']","['বারোশো চৌত্রিশ', 'দুই হাজার চৌদ্দ']"
২০২৩ চেয়ে  ২০১৪ সালের বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ সালের বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['২০২৩', '২০১৪']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
1995 থেকে 2014 শতাব্দীর বাংলাদেশ আর মানুষ বুজতে শুরু করে,উনিশশো পঁচানব্বই থেকে দুই হাজার চৌদ্দ শতাব্দীর বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1995', '2014']","['উনিশশো পঁচানব্বই', 'দুই হাজার চৌদ্দ']"
1234 হতে  ২০১৪ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,বারোশো চৌত্রিশ হতে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1234', '২০১৪']","['বারোশো চৌত্রিশ', 'দুই হাজার চৌদ্দ']"
2023 চেয়ে 2014সালে বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['2023', '2014সালে']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ সালে']"
১৯৫৪ থেকে ২০১৪ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,উনিশশো চুয়ান্ন থেকে দুই হাজার চৌদ্দ সালে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['১৯৫৪', '২০১৪']","['উনিশশো চুয়ান্ন', 'দুই হাজার চৌদ্দ']"
1234 হতে  ২০১৪ শতাব্দীর বাংলাদেশ আর মানুষ বুজতে শুরু করে,বারোশো চৌত্রিশ হতে দুই হাজার চৌদ্দ শতাব্দীর বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1234', '২০১৪']","['বারোশো চৌত্রিশ', 'দুই হাজার চৌদ্দ']"
২০২৩ চেয়ে  ২০১৪ সালের বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ সালের বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['২০২৩', '২০১৪']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
1995 থেকে 2014 শতাব্দীর বাংলাদেশ আর মানুষ বুজতে শুরু করে,উনিশশো পঁচানব্বই থেকে দুই হাজার চৌদ্দ শতাব্দীর বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1995', '2014']","['উনিশশো পঁচানব্বই', 'দুই হাজার চৌদ্দ']"
1234 হতে  ২০১৪ শতাব্দীতে বাংলাদেশ আর মানুষ বুজতে শুরু করে,বারোশো চৌত্রিশ হতে দুই হাজার চৌদ্দ শতাব্দীতে বাংলাদেশ আর মানুষ বুজতে শুরু করে,False,"['1234', '২০১৪']","['বারোশো চৌত্রিশ', 'দুই হাজার চৌদ্দ']"
2023 চেয়ে 2014সাল বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ সাল বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['2023', '2014সাল']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ সাল']"
2023 চেয়ে 2014 খ্রিস্টাব্দ বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ খ্রিস্টাব্দ বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['2023', '2014']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
2023 চেয়ে 2014 খ্রিস্টাব্দের বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ খ্রিস্টাব্দের বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['2023', '2014']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
2023 চেয়ে 2014 খ্রিস্টাব্দ বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ খ্রিস্টাব্দ বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['2023', '2014']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
2023 চেয়ে 2014 খ্রিস্টপূর্বাব্দের বাংলাদেশ আর মানুষ বুজতে শুরু ক,দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ খ্রিস্টপূর্বাব্দের বাংলাদেশ আর মানুষ বুজতে শুরু ক,False,"['2023', '2014']","['দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ']"
2023 চেয়ে 1115 বাংলাদেশ আর মানুষ বুজতে শুরু ক ২০২৩ চেয়ে  ২০১৪ সালে আর মানুষ বুজতে শুরু ২০২৩ চেয়ে 2025 সালে, দুই হাজার তেইশ চেয়ে এক হাজার একশো পনেরো বাংলাদেশ আর মানুষ বুজতে শুরু ক দুই হাজার তেইশ চেয়ে দুই হাজার চৌদ্দ সালে আর মানুষ বুজতে শুরু দুই হাজার তেইশ চেয়ে দুই হাজার পঁচিশ সালে,False,"['2023', '1115', '২০২৩', '২০১৪', '২০২৩', '2025']","['দুই হাজার তেইশ', 'এক হাজার একশো পনেরো', 'দুই হাজার তেইশ', 'দুই হাজার চৌদ্দ', 'দুই হাজার তেইশ', 'দুই হাজার পঁচিশ']"
২০১২সাল ,দুই হাজার বারো সাল,False,['২০১২সাল'],['দুই হাজার বারো সাল']
1994সাল,উনিশশো চুরানব্বই সাল,False,['1994সাল'],['উনিশশো চুরানব্বই সাল']
"09612345678ডিজিটাল  1 6 2 2 2 রেজিস্ট্রেশন০৯৬১২৩৪৫৬৭৮, ডিজিটাল রেজিস্ট্রেশন ০৯৬১০-০১০৬১৬ 09610-010616 সার্টিফিকেট সংক্রান্ত 01790540211124562 যোগাযোগ করতে হলে01790-540211অথবা 01790-541111 নম্বরে যোগাযোগ করতে হবে 01790540211, +8801790540211, ০১৭৯০৫৪০২১১, +৮৮০১৭৯০৫৪০২১১","জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট ডিজিটাল এক ছয় দুই দুই দুই রেজিস্ট্রেশন জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট, ডিজিটাল রেজিস্ট্রেশন জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স সার্টিফিকেট সংক্রান্ত জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান এক লক্ষ চব্বিশ হাজার পাঁচশো বাষট্টি যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর ট্রিপল ওয়ান ওয়ান নম্বরে যোগাযোগ করতে হবে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান",False,"['09612345678ডিজিটাল 1 6 2 2 2 রেজিস্ট্রেশন০৯৬১২৩৪৫৬৭৮,', '০৯৬১০-০১০৬১৬ 09610-010616', '01790540211124562', 'হলে01790-540211অথবা 01790-541111', '01790540211, +8801790540211, ০১৭৯০৫৪০২১১, +৮৮০১৭৯০৫৪০২১১']","['জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট ডিজিটাল এক ছয় দুই দুই দুই রেজিস্ট্রেশন জিরো নাইন সিক্স ওয়ান টু থ্রি ফোর ফাইভ সিক্স সেভেন এইট,', 'জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স জিরো নাইন সিক্স ওয়ান ডাবল জিরো ওয়ান জিরো সিক্স ওয়ান সিক্স', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান এক লক্ষ চব্বিশ হাজার পাঁচশো বাষট্টি', 'হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর ট্রিপল ওয়ান ওয়ান', 'জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান, প্লাস ডাবল এইট জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান']"
যোগাযোগ করতে হলে01790540211অথবা,যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা,False,['হলে01790540211অথবা'],['হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা']
যোগাযোগ করতে হলে01790-540211অথবা,যোগাযোগ করতে হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা,False,['হলে01790-540211অথবা'],['হলে জিরো ওয়ান সেভেন নাইন জিরো ফাইভ ফোর জিরো টু ডাবল ওয়ান অথবা']
" জরুরী বিতরণে ফি ৮,৬২৫.৬২৫ টাকা",জরুরী বিতরণে ফি আট হাজার ছয়শো পঁচিশ দশমিক ছয় দুই পাঁচ টাকা,False,"['৮,৬২৫.৬২৫']",['আট হাজার ছয়শো পঁচিশ দশমিক ছয় দুই পাঁচ']
দাঃবাঃ আমাদের প্রধান অতিথি,দামাত বারাকাতুল্লাহ আমাদের প্রধান অতিথি,False,['দাঃবাঃ'],['দামাত বারাকাতুল্লাহ']
মোসা: রুবিনা ভালো রান্না করেন,মোসা রুবিনা ভালো রান্না করেন,False,['মোসা:'],['মোসা']
রাশিয়ায় ₽৭০০ ব্যয় করেছি,রাশিয়ায় সাতশো রুবেল ব্যয় করেছি,False,['₽৭০০'],['সাতশো রুবেল']
আমার কাছে £৫০০ এবং €৩০০ আছে,আমার কাছে পাঁচশো পাউন্ড এবং তিনশো ইউরো আছে,False,"['£৫০০', '€৩০০']","['পাঁচশো পাউন্ড', 'তিনশো ইউরো']"
"আমি ৳১০,০০০ ব্যয় করেছি""","আমি দশ হাজার টাকা ব্যয় করেছি""",False,"['৳১০,০০০']",['দশ হাজার টাকা']
আ: রহমান আমাদের বন্ধু,আব্দুর রহমান আমাদের বন্ধু,False,['আ:'],['আব্দুর']
মোসাঃ রুবিনা ভালো রান্না করেন,মোসাম্মত রুবিনা ভালো রান্না করেন,False,['মোসাঃ'],['মোসাম্মত']
শাইখ দাঃবাঃ আমাদের মসজিদে আসবেন,শাইখ দামাত বারাকাতুল্লাহ আমাদের মসজিদে আসবেন,False,['দাঃবাঃ'],['দামাত বারাকাতুল্লাহ']
আমার দাদা মোসাঃ খাতুন খুব ভালো মানুষ ছিলেন,আমার দাদা মোসাম্মত খাতুন খুব ভালো মানুষ ছিলেন,False,['মোসাঃ'],['মোসাম্মত']
দাঃবাঃ আমাদের প্রধান অতিথি,দামাত বারাকাতুল্লাহ আমাদের প্রধান অতিথি,False,['দাঃবাঃ'],['দামাত বারাকাতুল্লাহ']
আ: রহমান আমাদের বন্ধু,আব্দুর রহমান আমাদের বন্ধু,False,['আ:'],['আব্দুর']
মো: রিয়াদ ভালো ছাত্র,মোহাম্মদ রিয়াদ ভালো ছাত্র,False,['মো:'],['মোহাম্মদ']
আজকের তাপমাত্রা ৪৪°F,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট,False,['৪৪°F'],['চুয়াল্লিশ ডিগ্রী ফারেনহাইট']
আজকের তাপমাত্রা৪৪°F,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট,False,['তাপমাত্রা৪৪°F'],['তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট']
মো: কাশেম একজন সফল ব্যবসায়ী,মোহাম্মদ কাশেম একজন সফল ব্যবসায়ী,False,['মো:'],['মোহাম্মদ']
"তিনি পঞ্চাশ পারসেন্ট ছাড় পাচ্ছেন আজকের অফারে।""","তিনি পঞ্চাশ পারসেন্ট ছাড় পাচ্ছেন আজকের অফারে। """,False,"['অফারে।""']","['অফারে। ""']"
আমার কাছে £৫০০ এবং €৩০০ আছে,আমার কাছে পাঁচশো পাউন্ড এবং তিনশো ইউরো আছে,False,"['£৫০০', '€৩০০']","['পাঁচশো পাউন্ড', 'তিনশো ইউরো']"
এই বিলটি ₽৫০০০ এর,এই বিলটি পাঁচ হাজার রুবেল এর,False,['₽৫০০০'],['পাঁচ হাজার রুবেল']
এই বিলটি ₽5000 এর,এই বিলটি পাঁচ হাজার রুবেল এর,False,['₽5000'],['পাঁচ হাজার রুবেল']
রাশিয়ায় ₽৭০০ ব্যয় করেছি,রাশিয়ায় সাতশো রুবেল ব্যয় করেছি,False,['₽৭০০'],['সাতশো রুবেল']
"রাশিয়ায় ₽5000 ব্যয় করেছি""","রাশিয়ায় পাঁচ হাজার রুবেল ব্যয় করেছি""",False,['₽5000'],['পাঁচ হাজার রুবেল']
এই পণ্যটির মূল্য $25.50 লাখ,"এই পণ্যটির মূল্য পঁচিশ দশমিক পাঁচ শূন্য লাখ ডলার, ",False,['$25.50'],"['পঁচিশ দশমিক পাঁচ শূন্য', 'ডলার,']"
আমার কাছে ৳৫০০ আছে,আমার কাছে পাঁচশো টাকা আছে,False,['৳৫০০'],['পাঁচশো টাকা']
সে £১০০ ধার নিয়েছে,সে একশো পাউন্ড ধার নিয়েছে,False,['£১০০'],['একশো পাউন্ড']
রাশিয়ায় ₽৭০০ ব্যয় করেছি,রাশিয়ায় সাতশো রুবেল ব্যয় করেছি,False,['₽৭০০'],['সাতশো রুবেল']
তুরস্কে ₺৩০০ দিয়ে কেনাকাটা করলাম,তুরস্কে তিনশো লিরা দিয়ে কেনাকাটা করলাম,False,['₺৩০০'],['তিনশো লিরা']
"আমি ৳১০,০০০ ব্যয় করেছি",আমি দশ হাজার টাকা ব্যয় করেছি,False,"['৳১০,০০০']",['দশ হাজার টাকা']
"ব্যাংকে ₹২৫,০০০ জমা দিয়েছি",ব্যাংকে পঁচিশ হাজার রুপি জমা দিয়েছি,False,"['₹২৫,০০০']",['পঁচিশ হাজার রুপি']
তিনি ₹১০ লাখ দান করেছেন,"তিনি দশ লাখ রুপি, দান করেছেন",False,['₹১০'],"['দশ', 'রুপি,']"
দোকানে ¥১৫০০ খরচ করলাম,দোকানে এক হাজার পাঁচশো ইয়েন খরচ করলাম,False,['¥১৫০০'],['এক হাজার পাঁচশো ইয়েন']
সে ₺৭৫০ দিয়ে পোশাক কিনেছে,সে সাতশো পঞ্চাশ লিরা দিয়ে পোশাক কিনেছে,False,['₺৭৫০'],['সাতশো পঞ্চাশ লিরা']
"আমাদের কোম্পানি ৳৫,০০,০০০ বিনিয়োগ করেছে",আমাদের কোম্পানি পাঁচ লক্ষ টাকা বিনিয়োগ করেছে,False,"['৳৫,০০,০০০']",['পাঁচ লক্ষ টাকা']
"এই বইটির মূল্য $15""","এই বইটির মূল্য পনেরো ডলার """,False,"['$15""']","['পনেরো ডলার ""']"
আমার উচ্চতা ১৭০ সেমি,আমার উচ্চতা একশো সত্তর সেন্টিমিটার,False,['১৭০ সেমি'],['একশো সত্তর সেন্টিমিটার']
"প্রদর্শনীটি চলার কথা ছিল ১২ মে পর্যন্ত, তবে দর্শকদের ব্যাপক আগ্রহের কারণে তিন দিন সময় বাড়িয়ে ১৫ মে পর্যন্ত করা হয়েছিল ১৫.১৫","প্রদর্শনীটি চলার কথা ছিল বারো মে পর্যন্ত, তবে দর্শকদের ব্যাপক আগ্রহের কারণে তিন দিন সময় বাড়িয়ে পনেরো মে পর্যন্ত করা হয়েছিল পনেরো দশমিক এক পাঁচ ",False,"['১২', '১৫', '১৫.১৫']","['বারো', 'পনেরো', 'পনেরো দশমিক এক পাঁচ']"
